oid,name,entity,access,risk_level,recommended_role,danger_signals,description
1.3.6.1.4.1.3902.3.302.17.1.100,alarmLevelChangeRowStatus,entity.zte.gpon.device.olt,read-create,CRITICAL,superuser,RowStatus(destroy),Row status.
1.3.6.1.4.1.3902.3.302.15.1.100,alarmMaskRowStatus,entity.zte.gpon.device.olt,read-create,CRITICAL,superuser,RowStatus(destroy),Row status.
1.3.6.1.4.1.3902.3.302.18.1.100,alarmShieldRowStatus,entity.zte.gpon.device.olt,read-create,CRITICAL,superuser,RowStatus(destroy),Row status.
1.3.6.1.4.1.3902.1082.30.20.2.2.4.1.50,zxAnAtmPvcIfRowStatus,entity.zte.gpon.device.olt,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.10.1.1.1,zxAnChassisSysReboot,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,destructive:reboot,Reboot system.
1.3.6.1.4.1.3902.1082.10.1.1.6,zxAnChassisSysRebootTimesClear,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,destructive:reboot,Clear the system rebooting times.
1.3.6.1.4.1.3902.1082.500.4.2.1.9.1.50,zxAnPonOltAlmPrfApplyRowStatus,entity.zte.gpon.device.olt,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.4.2.1.3.1.100,zxAnPonOltIfC15MPerfReset,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,destructive:reset,Clear all the current 15-minutes performance variables.
1.3.6.1.4.1.3902.1082.500.4.2.1.4.1.100,zxAnPonOltIfC1DPerfReset,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,destructive:reset,Clear all the current 1 day performance variables.
1.3.6.1.4.1.3902.1082.500.4.2.1.10.1.100,zxAnPonOltIfCMinPerfReset,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,destructive:reset,Clear all the current minutes performance variables.
1.3.6.1.4.1.3902.1082.500.4.2.1.2.1.100,zxAnPonOltIfCurrPerfReset,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,destructive:reset,"Clear OLT current statistics,read invalid."
1.3.6.1.4.1.3902.1082.500.4.2.1.8.1.50,zxAnPonOltPerfAlmConfRowStatus,entity.zte.gpon.device.olt,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.500.4.2.1.7.1.50,zxAnPonOltPerfAlmPrfRowStatus,entity.zte.gpon.device.olt,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.10.1.2.2.1.50,zxAnRackRowStatus,entity.zte.gpon.device.olt,read-create,CRITICAL,superuser,RowStatus(destroy),The status of this conceptual row.
1.3.6.1.4.1.3902.1082.20.30.2.3.3.1.2.1,zxAnSwAutoUpdateAction,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,platform:firmware/activation,The automatic update action.
1.3.6.1.4.1.3902.1082.20.30.2.3.3.1.2.2,zxAnSwAutoUpdateActiveEnable,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,platform:firmware/activation,Enable or disable the software active function.
1.3.6.1.4.1.3902.1082.20.30.2.3.3.1.1.1,zxAnSwAutoUpdateChkEnable,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,platform:firmware/activation,Enable or disable the software periodic check function.
1.3.6.1.4.1.3902.1082.20.30.2.3.3.1.1.3,zxAnSwAutoUpdateChkInterval,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,platform:firmware/activation,The interval of software periodic check.
1.3.6.1.4.1.3902.1082.20.30.2.3.3.1.1.2,zxAnSwAutoUpdateChkStartTime,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,platform:firmware/activation,The start time of software periodic check.
1.3.6.1.4.1.3902.1082.20.30.2.3.3.1.2.3,zxAnSwAutoUpdateSwBackupEnable,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,platform:firmware/activation,Enable or disable the version file backup function.
1.3.6.1.4.1.3902.1082.20.30.2.3.2.1.1,zxAnSwManualUpdateRack,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,platform:firmware/activation,The rack number.
1.3.6.1.4.1.3902.1082.20.30.2.3.2.1.3,zxAnSwManualUpdateSlotList,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,platform:firmware/activation,The slot number.
1.3.6.1.4.1.3902.1082.20.30.2.3.2.1.4,zxAnSwManualUpdateSwType,entity.zte.gpon.device.olt,read-write,CRITICAL,superuser,platform:firmware/activation,The software type is special to update.
